名前,カラーコード,R,G,B,備考/変更歴・サブカラーなど,ファンマーク
,,,,,,
月ノ美兎,#E43F3B,228,63,59,,🐰
勇気ちひろ,#7BB3EE,123,179,238,,🎀💙
える,#E2364F,226,54,79,#E1364E→2019/08/24変更,なし
渋谷ハジメ,#D7FAD7,215,250,215,,🍁
樋口楓,#FBAF71,251,175,113,#F3AB6F→2019/08/24変更,"💜,🥦*1"
静凛,#745399,116,83,153,Twitterアンケートで1位となった色,🌱
鈴谷アキ,#F2F9C3,242,249,195,,🐈
モイラ,#91ABD0,145,171,208,,(なし)*2 ﾓ*3
鈴鹿詩子,#FA4F62,250,79,98,#FA4E62→2019/08/24変更,🎶
宇志海いちご,#FFCACE,255,202,206,,🍓
家長むぎ,#FF899D,255,137,157,#FE899D→2019/08/24変更,🌷
夕陽リリ,#BFFFFF,191,255,255,,🌇
物述有栖,#81D4E2,129,212,226,#80D4E2→2019/08/24変更,♥️♠️♦️♣️
文野環,#EBDDB4,235,221,180,,🐟
伏見ガク,#FFCB5B,255,203,91,#FECB5B→2019/08/24変更,"✌,🦊"
ギルザレンⅢ世,#002FA7,0,47,167,,🏰🌕*4
剣持刀也,#A590AF,165,144,175,,⚔️
森中花咲,#C8F39A,200,243,154,#C7F39A→2019/08/24変更,"🐻,🌼*5"
叶,#ABD3D8,171,211,216,,🔫
赤羽葉子,#CA636C,202,99,108,,💀
笹木咲,#EF9AAF,239,154,175,,🎋
闇夜乃モルル,#EC4676,236,70,118,,🍜
本間ひまわり,#FBE340,251,227,64,#FD9D45→2019/08/24 #FF9D46へ変更→2019/10/11変更,🌻
魔界ノりりむ,#EF6F94,239,111,148,#D34968→2019/08/24 #D44968へ変更→2021/09/13の先行告知を経て同年10/02変更,🍼
葛葉,#ACA7BB,172,167,187,,(なし)*6
雪汝,#85AFE9,133,175,233,,❄️
椎名唯華,#F1C8DE,241,200,222,,👻
ドーラ,#A83E4A,168,62,74,,🔥
海夜叉神,#7DC5ED,125,197,237,,⛩️
名伽尾アズマ,#F7A57D,247,165,125,,☀️
出雲霞,#A9D6E3,169,214,227,,🦑
轟京子,#E66186,230,97,134,#F8A69A→2023/05頃変更,🐐
シスター・クレア,#DFC6A8,223,198,168,#DFC6AB→2019/08/24変更*2,🔔
花畑チャイカ,#40CF84,64,207,132,,🌵
社築,#B6C6F2,182,198,242,,🖥
安土桃,#F295CE,242,149,206,,‏🍑
鈴木勝,#7B788A,123,120,138,,☪️
緑仙,#5DCCAB,93,204,171,,🐼*7
卯月コウ,#F9E97A,249,233,122,,🌙*8
八朔ゆず,#FCCA4D,252,202,77,,🍊
神田笑一,#F4D35B,244,211,91,,"🔪,🍅"
鳴門こがね,---,,,,本項目基準のカラーコードが公開された時点（2019/02/04）で卒業済み,
飛鳥ひな,#FAD8DC,250,216,220,,🐤
春崎エアル,#4B5F9E,75,95,158,,🍭
雨森小夜,#756F7D,117,111,125,,"☂️,☔️"
鷹宮リオン,#CC3D7B,204,61,123,,🦅
舞元啓介,#094078,9,64,120,#AFC9A4→2021/03/09変更,👨‍🌾
竜胆尊,#745BFF,116,91,255,#CCCEF6→2019/08/08変更,🍶⚜️
でびでび・でびる,#444C7D,68,76,125,,🚪👿
桜凛月,#C57FC7,197,127,199,,🌸
町田ちま,#80C8EF,128,200,239,#EDDDBB→2023/08/11の配信・08/12のポストにて変更発表、公式サイトは08/14変更,🐹
月見しずく,#E354AF,227,84,175,,🎑💊
ジョー・力一,#D598DD,213,152,221,,"🤡,🎈"
遠北千南,#FCC5DC,252,197,220,,🍬
成瀬鳴,#E06489,224,100,137,,🎙*9
ベルモンド・バンデラス,#683D46,104,61,70,,🥃
矢車りね,#FEECD8,254,236,216,,🌽
夢追翔,#AC324B,172,50,75,,🎤
黒井しば,#585C82,88,92,130,,🐕🐾
童田明治,#E34E4F,227,78,79,,🐺🍎
久遠千歳,#FBD5F1,251,213,241,#FAD5F0→2019/08/24変更,🧠
郡道美玲,#A20063,162,0,99,#836000（いつから.link実装直後のみ）→2019/02/04変更,🐽
夢月ロア,#D8368D,216,54,141,,🌖
小野町春香,#FF336E,255,51,110,,♨️
語部紡,#07A4E3,7,164,227,,"🧂*10,📘*11"
瀬戸美夜子,#C4FF2B,196,255,43,,📷💚
御伽原江良,#FFBE5C,255,190,92,,🏰🕛
戌亥とこ,#92F3A4,146,243,164,#9D3757→2023/03/02 #86B368へ変更→同年06/01変更,🍹
アンジュ・カトリーナ,#C83C35,200,60,53,,⚖️
リゼ・ヘルエスタ,#42FFFF,66,255,255,,👑
三枝明那,#F03C32,240,60,50,#392D47→2022/05/08変更,🌶️
愛園愛美,#F98FB7,249,143,183,,💕
鈴原るる,#FFADBB,255,173,187,#D7AFA8→2026/06/23の配信・06/24のポストにて変更発表,🎨
雪城眞尋,#B4E9FF,180,233,255,,🌐💫
エクス・アルビオ,#5C9BBC,92,155,188,,🛡
レヴィ・エリファ,#FF5A00,255,90,0,#E8E1E8→2024/08/18変更,🔲
葉山舞鈴,#72D5CE,114,213,206,#D9EC33→2022/09頃変更,🍃🗻
ニュイ・ソシエール,#D24E5F,210,78,95,,🎃
葉加瀬冬雪,#EEFFFF,238,255,255,,⚗️
加賀美ハヤト,#B9ADB9,185,173,185,,🏢
夜見れな,#F7265A,247,38,90,,🎩🐤
黛灰,#086776,8,103,118,,(💻💙)*12
アルス・アルマル,#7FD6E2,127,214,226,,📕
相羽ういは,#324CAC,50,76,172,,🍮💎
天宮こころ,#C5EDFF,197,237,255,#C6ECFF→2019/08/24変更,🎐
エリー・コニファー,#DAFFF9,218,255,249,#DAFFF8→2019/08/24変更,🌲
ラトナ・プティ,#F36C21,243,108,33,#F8B759→2024/10/15変更,🐻💎
早瀬走,#AA7BE8,170,123,232,,🏃‍♀️💨or🚴‍♀️*13
健屋花那,#FF2FA2,255,47,162,,💉💘
シェリン・バーガンディ,#6C2735,108,39,53,色名：バーガンディー,🧐
フミ,#F4E49D,244,228,157,,🔖
星川サラ,#FAB80D,250,184,13,,🌟
