agency,name,color
Hololive,ときのそら,#56B5D7
Hololive,ロボ子さん,#56B5D7
Hololive,アキ・ローゼンタール,#56B5D7
Hololive,赤井はあと,#56B5D7
Hololive,白上フブキ,#56B5D7
Hololive,夏色まつり,#56B5D7
Hololive,百鬼あやめ,#56B5D7
Hololive,癒月ちょこ,#56B5D7
Hololive,大空スバル,#56B5D7
Hololive,AZKi,#56B5D7
Hololive,大神ミオ,#56B5D7
Hololive,さくらみこ,#56B5D7
Hololive,猫又おかゆ,#56B5D7
Hololive,戌神ころね,#56B5D7
Hololive,星街すいせい,#56B5D7
Hololive,兎田ぺこら,#56B5D7
Hololive,不知火フレア,#56B5D7
Hololive,白銀ノエル,#56B5D7
Hololive,宝鐘マリン,#56B5D7
Hololive,角巻わため,#56B5D7
Hololive,常闇トワ,#56B5D7
Hololive,姫森ルーナ,#56B5D7
Hololive,獅白ぼたん,#56B5D7
Hololive,尾丸ポルカ,#56B5D7
Hololive,ラプラス・ダークネス,#56B5D7
Hololive,鷹嶺ルイ,#56B5D7
Hololive,博衣こより,#56B5D7
Hololive,風真いろは,#56B5D7
Hololive,【配信活動終了】 沙花叉クロヱ,#56B5D7
Hololive,【卒業生】 湊あくあ,#56B5D7
Hololive,【卒業生】 紫咲シオン,#56B5D7
Hololive,【卒業生】 天音かなた,#56B5D7
Hololive,【卒業生】 桐生ココ,#56B5D7
Hololive,音乃瀬奏,#56B5D7
Hololive,一条莉々華,#56B5D7
Hololive,儒烏風亭らでん,#56B5D7
Hololive,轟はじめ,#56B5D7
Hololive,響咲リオナ,#56B5D7
Hololive,虎金妃笑虎,#56B5D7
Hololive,水宮枢,#56B5D7
Hololive,輪堂千速,#56B5D7
Hololive,綺々羅々ヴィヴィ,#56B5D7
Hololive,【卒業生】 火威青,#56B5D7
Nijisanji,葛葉,#2C2C2C
Nijisanji,壱百満天原サロメ,#2C2C2C
Nijisanji,月ノ美兎,#2C2C2C
Nijisanji,ヴォックス・アクマ,#2C2C2C
Nijisanji,剣持刀也,#2C2C2C
Nijisanji,星川サラ,#2C2C2C
Nijisanji,不破湊,#2C2C2C
Nijisanji,ローレン・イロアス,#2C2C2C
Nijisanji,ルカ・カネシロ,#2C2C2C
Nijisanji,樋口楓,#2C2C2C
Nijisanji,アンジュ・カトリーナ,#2C2C2C
