名前,カラーコード,R,G,B,備考/変更歴・サブカラーなど,ファンマーク
花芽すみれ,#BECCFF,190,204,255,2026/6頃に#B0C4DEから変更*1,👾💤
花芽なずな,#FABEDC,250,190,220,,🍣
小雀とと,#FFF33F,255,243,63,,🔫🐥
一ノ瀬うるは,#4182FA,65,130,250,,🌠
胡桃のあ,#B297D7,178,151,215,2026/6/1に#FFDBFEから変更,🧸♔
兎咲ミミ,#C7B2D6,199,178,214,,🐰🍭
空澄セナ,#FFFFFF,255,255,255,視認性を理由に#d2d2d2を使用することがある,🗝♠︎
橘ひなの,#FA96C8,250,150,200,,🍫💘
英リサ,#D1DE79,209,222,121,,💐
如月れん,#BE2152,190,33,82,,⏰
神成きゅぴ,#FFD23C,255,210,60,,🌩
八雲べに,#85CAB3,133,202,179,,💄💚
藍沢エマ,#B4F1F9,180,241,249,,🥞💫
紫宮るな,#D6ADFF,214,173,255,,☪🐾
猫汰つな,#FF3652,255,54,82,,🍒✨
白波らむね,#8ECED9,142,206,217,,🐻‍❄️🏖
小森めと,#FBA03F,251,160,63,,🪐
夢野あかり,#FF8684,255,134,132,,🍼
夜乃くろむ,#909EC8,144,158,200,,💀⛓
紡木こかげ,#5195E1,81,149,225,,📘💧
千燈ゆうひ,#ED784A,237,120,74,,🫠
蝶屋はなび,#EA5506,234,85,6,,🦋🎆
甘結もか,#ECA0AA,236,160,170,,🕹🔖
銀城サイネ,#58535E,88,83,94,,🎈
龍巻ちせ,#BEFF77,190,255,119,,🐉🌪
